Price	ticker	interval	path_stra	path_candle	pine_path	Net Profit_usd	Full Indicator Name	key_techs	Name	Index	Net Profit_per	Trade Activity Per Candle	Total Closed Trades	Percent Profitable_per	Profit Factor	Max Drawdown_usd	Max Drawdown_per	Avg Trade_usd	Avg Trade_per	Avg # Bars in Trades	Release date	months_trained	id_model	path_ico	path_ico_big	pine_path_shadow	n_candles	Precision f1_per	Tree Deep
79	NVDA	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/NVDA_1Day_2MM0_54f83cff_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/NVDA_1Day_2MM0_54f83cff_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\NVDA_1Day_2MM0_de5_q0.897_id54f83cff.pine.java	59299.21	MA_Cross_SMA & Money_Flow_Index Combined	2MM0	NVIDIA Corporation	NASDAQ	5.93	0.023	50.0	52.0	4.814	6317	0.63	1185	11.92	24.0	2024-09-27	103	54f83cff	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/NVDA.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/NVDA_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/TlZEQSAtIDFEYXkgLSAyTU0wIC0gNTRmODNjZmY.pine	2178.0	65.9	5
93	SOLUSDT	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/SOLUSDT_1Day_2CM0_a49086a0_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/SOLUSDT_1Day_2CM0_a49086a0_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\SOL+USDT_1Day_2CM0_de5_q1.222_ida49086a0.pine.java	79891.68	Chaikin_Money_Flow & Money_Flow_Index Combined	2CM0	Solana / U.S. Dollar	CRYPTO	7.99	0.044	67.0	44.78	3.358	15328	1.45	1192	11.92	15.0	2024-10-14	49	a49086a0	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/SOL+USDT.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/SOL+USDT_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/U09MVVNEVCAtIDFEYXkgLSAyQ00wIC0gYTQ5MDg2YTA.pine	1507.0	63.4	5
93	BTCUSDT	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/BTCUSDT_1Day_1WAV_259c6cdc_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/BTCUSDT_1Day_1WAV_259c6cdc_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\BTC+USDT_1Day_1WAV_de5_q0.904_id259c6cdc.pine.java	52572.36	WaveTrend Oscillator (WT)	1WAV	Bitcoin / U.S. Dollar	CRYPTO	5.26	0.017	45.0	68.89	8.205	3232	0.31	1168	11.72	16.0	2024-10-14	85	259c6cdc	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/BTC+USDT.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/BTC+USDT_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QlRDVVNEVCAtIDFEYXkgLSAxV0FWIC0gMjU5YzZjZGM.pine	2612.0	63.7	5
79	ADSK	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/ADSK_1Day_1MAD_b3709234_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/ADSK_1Day_1MAD_b3709234_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\ADSK_1Day_1MAD_de5_q0.919_idb3709234.pine.java	20943.7	Madrid Moving Average Ribbon	1MAD	Autodesk	NASDAQ	2.09	0.008	18.0	94.44	14152.149	505	0.05	1163	11.68	10.0	2024-09-27	104	b3709234	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/ADSK.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/ADSK_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QURTSyAtIDFEYXkgLSAxTUFEIC0gYjM3MDkyMzQ.pine	2199.0	63.2	5
79	U	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/U_1Day_1KON_b27ec2cf_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/U_1Day_1KON_b27ec2cf_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\U_1Day_1KON_de5_q1.304_idb27ec2cf.pine.java	44148.19	Blai5 Koncorde v10	1KON	Unity Software	NYSE	4.41	0.042	38.0	71.05	15.82	1582	0.15	1161	11.67	6.0	2024-09-27	43	b27ec2cf	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/U.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/U_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/VSAtIDFEYXkgLSAxS09OIC0gYjI3ZWMyY2Y.pine	910.0	65.8	5
79	PTON	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/PTON_1Day_1SUP_547f0304_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/PTON_1Day_1SUP_547f0304_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\PTON_1Day_1SUP_de5_q0.848_id547f0304.pine.java	11462.2	SuperTrend by KivancOzbilgic	1SUP	Peloton Interactive	NASDAQ	1.15	0.008	10.0	70.0	2.891	6232	0.62	1146	11.63	86.0	2024-09-27	59	547f0304	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/PTON.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/PTON_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/UFRPTiAtIDFEYXkgLSAxU1VQIC0gNTQ3ZjAzMDQ.pine	1251.0	59.6	5
79	PTON	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/PTON_1Day_2MT0_0bbf47c5_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/PTON_1Day_2MT0_0bbf47c5_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\PTON_1Day_2MT0_de5_q0.924_id0bbf47c5.pine.java	18662.46	Money_Flow_Index & Triple_EMA Combined	2MT0	Peloton Interactive	NASDAQ	1.87	0.013	16.0	75.0	9.16	2666	0.26	1166	11.62	11.0	2024-09-27	59	0bbf47c5	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/PTON.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/PTON_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/UFRPTiAtIDFEYXkgLSAyTVQwIC0gMGJiZjQ3YzU.pine	1247.0	56.9	5
79	PINS	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/PINS_1Day_1SQU_a2b4186e_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/PINS_1Day_1SQU_a2b4186e_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\PINS_1Day_1SQU_de5_q1.059_ida2b4186e.pine.java	19592.82	Squeeze Momentum Indicator (LazyBear)	1SQU	Pinterest	NYSE	1.96	0.013	17.0	70.59	5.881	2461	0.24	1152	11.59	15.0	2024-09-27	63	a2b4186e	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/PINS.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/PINS_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/UElOUyAtIDFEYXkgLSAxU1FVIC0gYTJiNDE4NmU.pine	1333.0	55.0	5
79	CRWD	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/CRWD_1Day_1WIL_c847a4e6_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/CRWD_1Day_1WIL_c847a4e6_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\CRWD_1Day_1WIL_de5_q1.067_idc847a4e6.pine.java	33904.3	CM Williams Vix Fix V3 Ultimate	1WIL	CrowdStrike Holdings	NASDAQ	3.39	0.023	29.0	72.41	4.717	4428	0.43	1169	11.57	18.0	2024-09-27	60	c847a4e6	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/CRWD.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/CRWD_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/Q1JXRCAtIDFEYXkgLSAxV0lMIC0gYzg0N2E0ZTY.pine	1264.0	62.7	5
93	AAVEUSDT	1Day	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AAVEUSDT_1Day_2CM0_c44c37d0_profit.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_img/AAVEUSDT_1Day_2CM0_c44c37d0_candel.png	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW\AAVE+USDT_1Day_2CM0_de5_q0.953_idc44c37d0.pine.java	58927.96	Chaikin_Money_Flow & Money_Flow_Index Combined	2CM0	AAVE / US Dollar	CRYPTO	5.89	0.035	51.0	49.02	3.248	9582	0.95	1155	11.56	18.0	2024-10-14	47	c44c37d0	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AAVE+USDT.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/icons/AAVE+USDT_big.svg	https://raw.githubusercontent.com/Leci37/tuisku_Web_selling/refs/heads/main/d_result/pine_TW_hide/QUFWRVVTRFQgLSAxRGF5IC0gMkNNMCAtIGM0NGMzN2Qw.pine	1442.0	64.3	5
