ticker	url_ico_TW	url_ico_big_TW	comp_name_TW	comp_inde_TW	path_ico	path_ico_big	comp_date_TW
GOOG	https://s3-symbol-logo.tradingview.com/alphabet.svg	https://s3-symbol-logo.tradingview.com/alphabet--big.svg	Alphabet Inc (Google) Class C	NASDAQ	d_result/icons/GOOG.svg	d_result/icons/GOOG_big.svg	"Alphabet Inc (Google) Class C
1D
NASDAQ"
HUBS	https://s3-symbol-logo.tradingview.com/hubspot.svg	https://s3-symbol-logo.tradingview.com/hubspot--big.svg	HubSpot, Inc.	NYSE	d_result/icons/HUBS.svg	d_result/icons/HUBS_big.svg	"HubSpot, Inc.
1D
NYSE"
LYFT	https://s3-symbol-logo.tradingview.com/lyft.svg	https://s3-symbol-logo.tradingview.com/lyft--big.svg	HubSpot, Inc.	NYSE	d_result/icons/LYFT.svg	d_result/icons/LYFT_big.svg	"HubSpot, Inc.
1D
NYSE"
MDB	https://s3-symbol-logo.tradingview.com/mongodb.svg	https://s3-symbol-logo.tradingview.com/mongodb--big.svg	MongoDB, Inc.	NASDAQ	d_result/icons/MDB.svg	d_result/icons/MDB_big.svg	"MongoDB, Inc.
1D
NASDAQ"
MELI	https://s3-symbol-logo.tradingview.com/mercadolibre.svg	https://s3-symbol-logo.tradingview.com/mercadolibre--big.svg	MercadoLibre, Inc.	NASDAQ	d_result/icons/MELI.svg	d_result/icons/MELI_big.svg	"MercadoLibre, Inc.
1D
NASDAQ"
MSFT	https://s3-symbol-logo.tradingview.com/microsoft.svg	https://s3-symbol-logo.tradingview.com/microsoft--big.svg	Microsoft Corp.	NASDAQ	d_result/icons/MSFT.svg	d_result/icons/MSFT_big.svg	"Microsoft Corp.
1D
NASDAQ"
NIO	https://s3-symbol-logo.tradingview.com/nio.svg	https://s3-symbol-logo.tradingview.com/nio--big.svg	NIO Inc.	NYSE	d_result/icons/NIO.svg	d_result/icons/NIO_big.svg	"NIO Inc.
1D
NYSE"
NVDA	https://s3-symbol-logo.tradingview.com/nvidia.svg	https://s3-symbol-logo.tradingview.com/nvidia--big.svg	NVIDIA Corporation	NASDAQ	d_result/icons/NVDA.svg	d_result/icons/NVDA_big.svg	"NVIDIA Corporation
1D
NASDAQ"
NVST	https://s3-symbol-logo.tradingview.com/envista-holdings.svg	https://s3-symbol-logo.tradingview.com/envista-holdings--big.svg	Envista Holdings Corporation	NYSE	d_result/icons/NVST.svg	d_result/icons/NVST_big.svg	"Envista Holdings Corporation
1D
NYSE"
PINS	https://s3-symbol-logo.tradingview.com/pinterest.svg	https://s3-symbol-logo.tradingview.com/pinterest--big.svg	Pinterest, Inc.	NYSE	d_result/icons/PINS.svg	d_result/icons/PINS_big.svg	"Pinterest, Inc.
1D
NYSE"
PYPL	https://s3-symbol-logo.tradingview.com/paypal.svg	https://s3-symbol-logo.tradingview.com/paypal--big.svg	PayPal Holdings, Inc.	NASDAQ	d_result/icons/PYPL.svg	d_result/icons/PYPL_big.svg	"PayPal Holdings, Inc.
1D
NASDAQ"
QCOM	https://s3-symbol-logo.tradingview.com/qualcomm.svg	https://s3-symbol-logo.tradingview.com/qualcomm--big.svg	QUALCOMM Incorporated	NASDAQ	d_result/icons/QCOM.svg	d_result/icons/QCOM_big.svg	"QUALCOMM Incorporated
1D
NASDAQ"
SHOP	https://s3-symbol-logo.tradingview.com/shopify.svg	https://s3-symbol-logo.tradingview.com/shopify--big.svg	Shopify Inc.	NYSE	d_result/icons/SHOP.svg	d_result/icons/SHOP_big.svg	"Shopify Inc.
1D
NYSE"
SNAP	https://s3-symbol-logo.tradingview.com/snap.svg	https://s3-symbol-logo.tradingview.com/snap--big.svg	Snap Inc.	NYSE	d_result/icons/SNAP.svg	d_result/icons/SNAP_big.svg	"Snap Inc.
1D
NYSE"
SPOT	https://s3-symbol-logo.tradingview.com/spotify-technology.svg	https://s3-symbol-logo.tradingview.com/spotify-technology--big.svg	Spotify Technology S.A.	NYSE	d_result/icons/SPOT.svg	d_result/icons/SPOT_big.svg	"Spotify Technology S.A.
1D
NYSE"
TSLA	https://s3-symbol-logo.tradingview.com/tesla.svg	https://s3-symbol-logo.tradingview.com/tesla--big.svg	Tesla, Inc.	NASDAQ	d_result/icons/TSLA.svg	d_result/icons/TSLA_big.svg	"Tesla, Inc.
1D
NASDAQ"
TTD	https://s3-symbol-logo.tradingview.com/the-trade-desk.svg	https://s3-symbol-logo.tradingview.com/the-trade-desk--big.svg	The Trade Desk, Inc.	NASDAQ	d_result/icons/TTD.svg	d_result/icons/TTD_big.svg	"The Trade Desk, Inc.
1D
NASDAQ"
TWLO	https://s3-symbol-logo.tradingview.com/twilio.svg	https://s3-symbol-logo.tradingview.com/twilio--big.svg	Twilio Inc.	NYSE	d_result/icons/TWLO.svg	d_result/icons/TWLO_big.svg	"Twilio Inc.
1D
NYSE"
UBER	https://s3-symbol-logo.tradingview.com/uber.svg	https://s3-symbol-logo.tradingview.com/uber--big.svg	Uber Technologies, Inc.	NYSE	d_result/icons/UBER.svg	d_result/icons/UBER_big.svg	"Uber Technologies, Inc.
1D
NYSE"
ZI	https://s3-symbol-logo.tradingview.com/zoominfo.svg	https://s3-symbol-logo.tradingview.com/zoominfo--big.svg	ZoomInfo Technologies Inc.	NASDAQ	d_result/icons/ZI.svg	d_result/icons/ZI_big.svg	"ZoomInfo Technologies Inc.
1D
NASDAQ"
AAPL	https://s3-symbol-logo.tradingview.com/apple.svg	https://s3-symbol-logo.tradingview.com/apple--big.svg	Apple Inc	NASDAQ	d_result/icons/AAPL.svg	d_result/icons/AAPL_big.svg	"Apple Inc
1
NASDAQ"
AAVE+USDT	https://s3-symbol-logo.tradingview.com/uber.svg	https://s3-symbol-logo.tradingview.com/uber--big.svg	BINANCE:AAVEUSDC		d_result/icons/AAVE+USDT.svg	d_result/icons/AAVE+USDT_big.svg	"BINANCE:AAVEUSDC
5"
AAVE+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCAAVE.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCAAVE--big.svg	AAVE / US Dollar	BINANCE	d_result/icons/AAVE+USDT.svg	d_result/icons/AAVE+USDT_big.svg	"AAVE / US Dollar
5
BINANCE"
AAVE+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCAAVE.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCAAVE--big.svg	AAVE / US Dollar	BINANCE	d_result/icons/AAVE+USDT.svg	d_result/icons/AAVE+USDT_big.svg	"AAVE / US Dollar
5
BINANCE"
ABNB	https://s3-symbol-logo.tradingview.com/airbnb.svg	https://s3-symbol-logo.tradingview.com/airbnb--big.svg	Airbnb, Inc.	NASDAQ	d_result/icons/ABNB.svg	d_result/icons/ABNB_big.svg	"Airbnb, Inc.
15
NASDAQ"
ATOM+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC--big.svg	Bitcoin / U.S. Dollar	BINANCE	d_result/icons/ATOM+USDT.svg	d_result/icons/ATOM+USDT_big.svg	"Bitcoin / U.S. Dollar
5
BINANCE"
ADA+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC--big.svg	Bitcoin / U.S. Dollar	BINANCE	d_result/icons/ADA+USDT.svg	d_result/icons/ADA+USDT_big.svg	"Bitcoin / U.S. Dollar
5
BINANCE"
XRP+USDT	https://s3-symbol-logo.tradingview.com/zoominfo.svg	https://s3-symbol-logo.tradingview.com/zoominfo--big.svg	BINANCE:XRPUSD		d_result/icons/XRP+USDT.svg	d_result/icons/XRP+USDT_big.svg	"X
BINANCE:XRPUSD
5"
UPST	https://s3-symbol-logo.tradingview.com/upstart.svg	https://s3-symbol-logo.tradingview.com/upstart--big.svg	Upstart Holdings, Inc.	NASDAQ	d_result/icons/UPST.svg	d_result/icons/UPST_big.svg	"Upstart Holdings, Inc.
5
NASDAQ"
U	https://s3-symbol-logo.tradingview.com/unity.svg	https://s3-symbol-logo.tradingview.com/unity--big.svg	Unity Software Inc.	NYSE	d_result/icons/U.svg	d_result/icons/U_big.svg	"Unity Software Inc.
5
NYSE"
SNOW	https://s3-symbol-logo.tradingview.com/snowflake.svg	https://s3-symbol-logo.tradingview.com/snowflake--big.svg	Snowflake Inc.	NYSE	d_result/icons/SNOW.svg	d_result/icons/SNOW_big.svg	"Snowflake Inc.
5
NYSE"
RUN	https://s3-symbol-logo.tradingview.com/sunrun.svg	https://s3-symbol-logo.tradingview.com/sunrun--big.svg	Sunrun Inc.	NASDAQ	d_result/icons/RUN.svg	d_result/icons/RUN_big.svg	"Sunrun Inc.
5
NASDAQ"
RIVN	https://s3-symbol-logo.tradingview.com/rivian.svg	https://s3-symbol-logo.tradingview.com/rivian--big.svg	Rivian Automotive, Inc.	NASDAQ	d_result/icons/RIVN.svg	d_result/icons/RIVN_big.svg	"Rivian Automotive, Inc.
5
NASDAQ"
RBLX	https://s3-symbol-logo.tradingview.com/roblox.svg	https://s3-symbol-logo.tradingview.com/roblox--big.svg	Roblox Corporation	NYSE	d_result/icons/RBLX.svg	d_result/icons/RBLX_big.svg	"Roblox Corporation
5
NYSE"
PTON	https://s3-symbol-logo.tradingview.com/peloton-interactive-inc.svg	https://s3-symbol-logo.tradingview.com/peloton-interactive-inc--big.svg	Peloton Interactive, Inc.	NASDAQ	d_result/icons/PTON.svg	d_result/icons/PTON_big.svg	"Peloton Interactive, Inc.
5
NASDAQ"
NFLX	https://s3-symbol-logo.tradingview.com/netflix.svg	https://s3-symbol-logo.tradingview.com/netflix--big.svg	Netflix, Inc.	NASDAQ	d_result/icons/NFLX.svg	d_result/icons/NFLX_big.svg	"Netflix, Inc.
5
NASDAQ"
META	https://s3-symbol-logo.tradingview.com/meta-platforms.svg	https://s3-symbol-logo.tradingview.com/meta-platforms--big.svg	Meta Platforms, Inc.	NASDAQ	d_result/icons/META.svg	d_result/icons/META_big.svg	"Meta Platforms, Inc.
5
NASDAQ"
XLM+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC--big.svg	Bitcoin / U.S. Dollar	BINANCE	d_result/icons/XLM+USDT.svg	d_result/icons/XLM+USDT_big.svg	"Bitcoin / U.S. Dollar
5
BINANCE"
VET+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC--big.svg	Bitcoin / U.S. Dollar	BINANCE	d_result/icons/VET+USDT.svg	d_result/icons/VET+USDT_big.svg	"Bitcoin / U.S. Dollar
5
BINANCE"
UNI+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCUNI.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCUNI--big.svg	Uniswap / U.S. Dollar	BINANCE	d_result/icons/UNI+USDT.svg	d_result/icons/UNI+USDT_big.svg	"Uniswap / U.S. Dollar
5
BINANCE"
TRX+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCTRX.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCTRX--big.svg	TRX Perpetual Futures Contract	BINANCE	d_result/icons/TRX+USDT.svg	d_result/icons/TRX+USDT_big.svg	"TRX Perpetual Futures Contract
5
BINANCE"
SOL+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCSOL.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCSOL--big.svg	Solana / U.S. Dollar	BINANCE	d_result/icons/SOL+USDT.svg	d_result/icons/SOL+USDT_big.svg	"Solana / U.S. Dollar
5
BINANCE"
SHIB+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCUSDC.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCUSDC--big.svg	SHIB / USD Coin	BINANCE	d_result/icons/SHIB+USDT.svg	d_result/icons/SHIB+USDT_big.svg	"SHIB / USD Coin
5
BINANCE"
MATIC+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC--big.svg	Bitcoin / U.S. Dollar	BINANCE	d_result/icons/MATIC+USDT.svg	d_result/icons/MATIC+USDT_big.svg	"Bitcoin / U.S. Dollar
5
BINANCE"
LTC+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCLTC.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCLTC--big.svg	LTC Perpetual Futures Contract	BINANCE	d_result/icons/LTC+USDT.svg	d_result/icons/LTC+USDT_big.svg	"LTC Perpetual Futures Contract
5
BINANCE"
LINK+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC--big.svg	Bitcoin / U.S. Dollar	BINANCE	d_result/icons/LINK+USDT.svg	d_result/icons/LINK+USDT_big.svg	"Bitcoin / U.S. Dollar
30
BINANCE"
GTLB	https://s3-symbol-logo.tradingview.com/gitlab.svg	https://s3-symbol-logo.tradingview.com/gitlab--big.svg	GitLab Inc.	NASDAQ	d_result/icons/GTLB.svg	d_result/icons/GTLB_big.svg	"GitLab Inc.
5
NASDAQ"
AFRM	https://s3-symbol-logo.tradingview.com/affirm.svg	https://s3-symbol-logo.tradingview.com/affirm--big.svg	Affirm Holdings, Inc.	NASDAQ	d_result/icons/AFRM.svg	d_result/icons/AFRM_big.svg	"Affirm Holdings, Inc.
15
NASDAQ"
ASAN	https://s3-symbol-logo.tradingview.com/asana.svg	https://s3-symbol-logo.tradingview.com/asana--big.svg	Asana, Inc.	NYSE	d_result/icons/ASAN.svg	d_result/icons/ASAN_big.svg	"Asana, Inc.
15
NYSE"
AVAX+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCAVAX.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCAVAX--big.svg	AVAX / US Dollar	BINANCE	d_result/icons/AVAX+USDT.svg	d_result/icons/AVAX+USDT_big.svg	"AVAX / US Dollar
15
BINANCE"
BABA	https://s3-symbol-logo.tradingview.com/alibaba.svg	https://s3-symbol-logo.tradingview.com/alibaba--big.svg	Alibaba Group Holdings Ltd.	NYSE	d_result/icons/BABA.svg	d_result/icons/BABA_big.svg	"Alibaba Group Holdings Ltd.
1D
NYSE"
BNB+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC--big.svg	Bitcoin / U.S. Dollar	BINANCE	d_result/icons/BNB+USDT.svg	d_result/icons/BNB+USDT_big.svg	"Bitcoin / U.S. Dollar
15
BINANCE"
BTC+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCBTC--big.svg	Bitcoin / U.S. Dollar	BINANCE	d_result/icons/BTC+USDT.svg	d_result/icons/BTC+USDT_big.svg	"Bitcoin / U.S. Dollar
15
BINANCE"
CRSR	https://s3-symbol-logo.tradingview.com/corsair.svg	https://s3-symbol-logo.tradingview.com/corsair--big.svg	Corsair Gaming, Inc.	NASDAQ	d_result/icons/CRSR.svg	d_result/icons/CRSR_big.svg	"Corsair Gaming, Inc.
15
NASDAQ"
DBX	https://s3-symbol-logo.tradingview.com/dropbox.svg	https://s3-symbol-logo.tradingview.com/dropbox--big.svg	Dropbox, Inc.	NASDAQ	d_result/icons/DBX.svg	d_result/icons/DBX_big.svg	"Dropbox, Inc.
15
NASDAQ"
DOCN	https://s3-symbol-logo.tradingview.com/digitalocean.svg	https://s3-symbol-logo.tradingview.com/digitalocean--big.svg	DigitalOcean Holdings, Inc.	NYSE	d_result/icons/DOCN.svg	d_result/icons/DOCN_big.svg	"DigitalOcean Holdings, Inc.
15
NYSE"
DOGE+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCDOGE.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCDOGE--big.svg	Dogecoin / US Dollar	BINANCE	d_result/icons/DOGE+USDT.svg	d_result/icons/DOGE+USDT_big.svg	"Dogecoin / US Dollar
15
BINANCE"
DOT+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCDOT.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCDOT--big.svg	DOT / US Dollar	BINANCE	d_result/icons/DOT+USDT.svg	d_result/icons/DOT+USDT_big.svg	"DOT / US Dollar
15
BINANCE"
ETH+USDT	https://s3-symbol-logo.tradingview.com/crypto/XTVCETH.svg	https://s3-symbol-logo.tradingview.com/crypto/XTVCETH--big.svg	Ethereum / U.S. Dollar	BINANCE	d_result/icons/ETH+USDT.svg	d_result/icons/ETH+USDT_big.svg	"Ethereum / U.S. Dollar
15
BINANCE"
FFIV	https://s3-symbol-logo.tradingview.com/f5-network.svg	https://s3-symbol-logo.tradingview.com/f5-network--big.svg	F5, Inc.	NASDAQ	d_result/icons/FFIV.svg	d_result/icons/FFIV_big.svg	"F5, Inc.
15
NASDAQ"
